year,month,value
1997,10,0.00036081499999999995
1997,11,0.0003649475
1997,12,0.00036783124999999997
1998,1,0.000369491
1998,2,0.0003701783333333333
1998,3,0.00037068375
1998,4,0.0003704366666666666
1998,5,0.0003715375
1998,6,0.00036862624999999997
1998,7,0.000363559
1998,8,0.00035782375
1998,9,0.00035970125
1998,10,0.0003644733333333333
1998,11,0.00036920250000000007
1998,12,0.00037392071428571426
1999,1,0.000373785
1999,2,0.00037404900000000005
1999,3,0.0003737775
1999,4,0.000374601875
1999,5,0.000374348125
1999,6,0.0003724792857142858
1999,7,0.00036471374999999995
1999,8,0.00035928416666666666
1999,9,0.0003598771428571428
1999,10,0.0003651878571428572
1999,11,0.000369530625
1999,12,0.00037251250000000004
2000,1,0.00037304071428571423
2000,2,0.00037504625
2000,3,0.00037486999999999997
2000,4,0.00037546625
